no,sexe,profession,annee_etude,naissance,age,VAK1,VAK2,VAK3,VAK4,VAK5,VAK6,VAK7,VAK8,VAK9,VAK10,VAK11,VAK12,VAK13,VAK14,VAK15,nb auditif (1),nb visuel (2),nb kinesthesique (3)
,,,,,,2,2,3,2,3,3,3,1,2,2,3,2,2,2,2,1,9,5
126,F,2,NR,1987,20,B,A,B,B,B,C,A,B,B,A,C,A,B,C,C,,,
,,,,,,2,1,1,2,3,3,1,3,2,2,3,3,1,3,1,5,4,6
127,F,2,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
128,F,1,2,1988,19,B,A,A,A,B,B,C,A,B,B,A,C,A,C,C,,,
,,,,,,2,1,2,1,3,2,2,1,2,1,1,2,2,3,1,6,7,2
129,F,1,2,1988,19,B,C,B,A,A,C,A,A,B,B,B,A,A,C,B,,,
,,,,,,2,2,1,1,2,3,1,1,2,1,2,3,2,3,3,5,6,4
130,F,2,3,1985,22,B,C,B,C,C,C,A,A,B,A,A,C,A,B,C,,,
,,,,,,2,2,1,3,1,3,1,1,2,2,1,2,2,2,1,6,7,2
131,F,2,3,1987,20,B,B,A,A,C,C,A,A,C,A,C,A,A,C,A,,,
,,,,,,2,3,2,1,1,3,1,1,3,2,3,3,2,3,2,4,5,6
132,M,1,2,1987,20,B,A,A,C,A,B,C,A,B,C,C,B,C,B,B,,,
,,,,,,2,1,2,3,2,2,2,1,2,3,3,1,3,2,3,3,7,5
133,M,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
134,M,1,2,1988,19,B,C,A,B,C,C,B,A,B,A,C,B,A,B,C,,,
,,,,,,2,2,2,2,1,3,3,1,2,2,3,1,2,2,1,4,8,3
135,M,1,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
136,M,1,2,1988,19,B,A,B,A,A,C,A,A,A,B,B,B,A,A,B,,,
,,,,,,2,1,1,1,2,3,1,1,1,1,2,1,2,1,3,9,4,2
